127.0.0.1 - - [20/Nov/2017:17:12:44 +0100] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:45 +0100] "GET /configurator/ HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:45 +0100] "GET /configurator/VAADIN/vaadinBootstrap.js?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:45 +0100] "GET /configurator/VAADIN/widgetsets/com.vaadin.DefaultWidgetSet/com.vaadin.DefaultWidgetSet.nocache.js?1511194365424 HTTP/1.1" 200 2964
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:45 +0100] "GET /configurator/VAADIN/themes/mytheme/styles.css?v=8.1.3 HTTP/1.1" 200 344421
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:45 +0100] "GET /configurator/VAADIN/widgetsets/com.vaadin.DefaultWidgetSet/51798D550BBF79F203F30F9804618574.cache.js HTTP/1.1" 200 339580
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:45 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:45 +0100] "GET /configurator/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:46 +0100] "POST /configurator/?v-1511194365426 HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:46 +0100] "GET /configurator/APP/global/0/legacy/2/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:46 +0100] "GET /configurator/APP/global/0/legacy/1/nutrition.jpg HTTP/1.1" 200 343752
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:46 +0100] "GET /configurator/APP/global/0/legacy/3/shoppingcart.png HTTP/1.1" 200 14764
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:46 +0100] "GET /configurator/APP/global/0/legacy/0/crossfit.jpeg HTTP/1.1" 200 403038
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:46 +0100] "GET /configurator/APP/global/0/legacy/4/account.png HTTP/1.1" 200 22359
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:46 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:46 +0100] "POST /configurator/UIDL/?v-uiId=0 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:48 +0100] "POST /configurator/UIDL/?v-uiId=0 HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:48 +0100] "GET /configurator/APP/global/0/legacy/5/woran_willst_du_primaer_arbeiten.jpg HTTP/1.1" 200 161732
0:0:0:0:0:0:0:1 - - [20/Nov/2017:17:12:48 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Semibold-webfont.woff HTTP/1.1" 304 -
