127.0.0.1 - - [07/Feb/2018:16:34:31 +0100] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:32 +0100] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:33 +0100] "GET /configurator/VAADIN/vaadinBootstrap.js?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:33 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1518017673056 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:33 +0100] "GET /configurator/VAADIN/themes/mytheme/styles.css?v=8.1.3 HTTP/1.1" 200 345363
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:33 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/CA4FB287204AE1F890BE4F774E07EE29.cache.js HTTP/1.1" 200 340312
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:33 +0100] "GET /configurator/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:33 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:33 +0100] "POST /configurator/?v-1518017673058 HTTP/1.1" 200 9665
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/APP/global/0/legacy/4/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/APP/global/0/legacy/0/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/APP/global/0/legacy/1/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/APP/global/0/legacy/2/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/APP/global/0/legacy/8/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/APP/global/0/legacy/5/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/APP/global/0/legacy/3/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/APP/global/0/legacy/7/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/APP/global/0/legacy/6/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/APP/global/0/legacy/9/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:34:34 +0100] "POST /configurator/UIDL/?v-uiId=0 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:29 +0100] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:29 +0100] "GET /configurator/VAADIN/vaadinBootstrap.js?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:29 +0100] "GET /configurator/VAADIN/themes/mytheme/styles.css?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:29 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1518017789798 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:29 +0100] "POST /configurator/?v-1518017789802 HTTP/1.1" 200 9732
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:29 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/CA4FB287204AE1F890BE4F774E07EE29.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:29 +0100] "GET /configurator/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/13/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/12/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/16/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/18/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/15/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/19/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/10/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/14/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/17/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/11/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:31 +0100] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:31 +0100] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 158
