127.0.0.1 - - [15/Apr/2018:10:22:19 +0200] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:20 +0200] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:20 +0200] "GET /configurator/VAADIN/vaadinBootstrap.js?v=8.1.3 HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:20 +0200] "GET /configurator/VAADIN/themes/mytheme/styles.css?v=8.1.3 HTTP/1.1" 200 346459
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:20 +0200] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1523780540949 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 200 7194
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/VAADIN/widgetsets/AppWidgetset/CA4FB287204AE1F890BE4F774E07EE29.cache.js HTTP/1.1" 200 340312
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 200 22248
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "POST /configurator/?v-1523780540953 HTTP/1.1" 200 9359
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/1/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/0/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/3/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/2/Training_Support.jpg HTTP/1.1" 200 703392
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/4/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/5/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/6/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/7/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/9/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/8/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:21 +0200] "GET /configurator/APP/global/0/legacy/10/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:22 +0200] "GET /configurator/VAADIN/widgetsets/AppWidgetset/deferredjs/CA4FB287204AE1F890BE4F774E07EE29/8.cache.js HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:22 +0200] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 200 22660
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:22 +0200] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Semibold-webfont.woff HTTP/1.1" 200 22908
